                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5743,                 5.7986,                 4.3458,                0.00012,                0.03077,                  7e-05,                  2e-05,                 4.3702,                 5.6647,                 4.1614,                0.00036,                0.00036,                0.00036
                      2,                 4.1979,                 5.0992,                 4.0993,                  6e-05,                0.01538,                  4e-05,                  2e-05,                 4.3981,                 5.4915,                  4.168,             0.00072535,             0.00072535,             0.00072535
                      3,                  3.648,                 4.2462,                 3.6772,                  6e-05,                0.01538,                  3e-05,                  1e-05,                 4.5342,                 4.9898,                 4.2489,              0.0010756,              0.0010756,              0.0010756
                      4,                 3.2631,                 3.6664,                 3.3349,                0.00015,                0.01538,                  8e-05,                  3e-05,                 4.5863,                 4.9116,                 4.2883,              0.0014109,              0.0014109,              0.0014109
                      5,                 3.2153,                  3.465,                  3.081,                0.00014,                0.01538,                  8e-05,                  3e-05,                 4.7816,                 5.3741,                 4.5781,              0.0017311,              0.0017311,              0.0017311
                      6,                  2.988,                 3.1609,                 3.0201,                0.15242,                0.01538,                0.02798,                0.00858,                 3.1329,                 3.8074,                 3.2952,               0.001802,               0.001802,               0.001802
                      7,                 2.8264,                 2.9738,                 2.8647,                 0.1043,                 0.1147,                0.04234,                0.01207,                 2.9001,                 3.4742,                 3.4013,               0.001802,               0.001802,               0.001802
                      8,                 2.7197,                 2.8298,                 2.7204,                0.13005,                0.32308,                0.09364,                0.02635,                 2.5462,                 3.2224,                 3.0356,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.6357,                 2.7255,                 2.7528,                0.20926,                0.21175,                 0.1258,                0.04675,                 2.4198,                 9.6092,                 3.0962,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.6044,                  2.732,                 2.6907,                0.19215,                0.16923,                0.10587,                0.03338,                 2.3498,                 6.5583,                 2.9791,              0.0016832,              0.0016832,              0.0016832
                     11,                  2.574,                 2.5077,                 2.6293,                0.14787,                    0.2,                 0.1121,                 0.0295,                 2.8166,                 2.6344,                 2.6931,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.5419,                 2.5265,                  2.581,                0.31665,                0.35385,                0.25341,                0.07985,                 2.2234,                 2.4385,                 2.7906,               0.001604,               0.001604,               0.001604
                     13,                  2.549,                 2.3392,                 2.5626,                0.33665,                0.30454,                0.26205,                 0.0794,                 2.1895,                  2.349,                 2.7973,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.4916,                 2.3074,                 2.5002,                0.27598,                0.32308,                0.20206,                0.06853,                 2.2818,                 2.5489,                 2.7536,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.4988,                  2.296,                 2.4699,                0.36228,                0.46154,                0.32189,                0.10537,                 2.2184,                 2.0091,                 2.4823,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.3303,                 2.1133,                 2.4058,                0.38605,                0.10648,                0.12503,                0.03878,                  2.402,                 2.9904,                 2.7859,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.2759,                 2.1175,                 2.3815,                 0.5076,                0.43077,                0.44231,                0.14054,                 2.1581,                 2.0946,                 2.5798,               0.001406,               0.001406,               0.001406
                     18,                 2.4036,                 2.0513,                 2.4157,                0.36908,                0.40503,                0.32787,                0.11421,                 2.5176,                 2.2992,                 2.7488,              0.0013664,              0.0013664,              0.0013664
                     19,                  2.271,                 1.9906,                 2.3345,                0.41376,                0.53209,                0.40974,                0.17304,                 2.4317,                 1.9989,                 2.9673,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.2229,                  1.846,                 2.2652,                0.45484,                0.58462,                0.43843,                0.15059,                 1.9096,                 2.1442,                 2.4404,              0.0012872,              0.0012872,              0.0012872
                     21,                 2.1374,                 1.8397,                 2.2285,                0.57459,                0.55385,                 0.5951,                0.20504,                 1.9002,                 1.9075,                 2.4571,              0.0012476,              0.0012476,              0.0012476
